fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,3.4631932863936754,12.283376322751321,5.480946152024159,18.592174214245063,0.9569105798958962,0.4868382401283757
1,3.7563175529615225,11.889497354497355,6.238723475522799,17.19270239665069,0.9439424050404791,0.5129311147150153
2,3.447102556976098,11.753806216931217,5.675030170458337,17.08591683553343,0.9542097188240354,0.5518272928610136
3,3.429016120066704,10.98198082010582,5.4887517206717025,16.766764241168037,0.9567385445459409,0.5838110163182041
4,3.5910147942672217,12.595039682539683,5.817057572966955,18.268226908526845,0.9514309843870851,0.4851238748896643
5,3.511821420925467,12.498102453102451,5.684577035974413,19.24972018062151,0.952873711796563,0.5231939844801484
6,3.4568301373214667,11.899213564213566,5.497600208520673,16.727852478455365,0.9566422673370392,0.5930524829441006
7,3.4044155427103404,12.454000721500723,5.450591639035561,18.032441203146092,0.9573666706941462,0.502656739907116
8,3.7564333119246416,11.676886724386724,6.141612423155085,16.459144408411504,0.9449791411133691,0.6054526206633161
9,3.864094565250635,13.747561327561328,6.126145125338293,19.637977588789553,0.9456742903530918,0.4076220110595004
