fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,4.740166415755666,9.522471593915347,6.2375717918123765,11.602139682006216,0.9658918670743547,0.8486303284564521
1,4.731534324624792,9.197956183862432,6.164343615408989,11.942744939720312,0.967424004611377,0.7871624295990682
2,4.667518733401272,10.378850496031749,6.190828434161982,13.276586147717557,0.9666617752698885,0.7445755787649164
3,4.627278816163301,10.544256514550263,6.032794733865221,13.582549138925513,0.9683128476892521,0.7063055350473247
4,4.654006122248841,9.855805320150656,6.137813947172239,12.525245637112937,0.9671363628632736,0.8092442119214543
5,4.6820953030859105,9.61306948051948,6.125595914210853,11.820110880237566,0.9676295965363706,0.7685065969050422
6,4.72882873428755,9.042934812409811,6.195221066567971,11.522550327281184,0.9666782094127144,0.7995757083980214
7,4.748499571826161,9.208768506493504,6.13517014991559,12.196655569688446,0.9687546640441465,0.8150489361066152
8,4.785342933880506,8.978081746031746,6.211167124401608,11.35182870550699,0.967767315981615,0.8131459442264416
9,4.693134416349012,9.30519025974026,6.097364600759874,12.444054835731238,0.9681907538701311,0.7857261376792309
