fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,8.350337415909552e-07,7.344440866328511,1.0676470001274382e-06,9.950957705157741,0.9999999999999991,0.8594490136626972
1,8.242036003022076e-07,7.9141492596218495,1.0590413947880743e-06,10.049803786300664,0.9999999999999992,0.8581610664943107
2,8.719892906347095e-07,6.300189733140849,1.1108885961288207e-06,7.887594363913625,0.9999999999999984,0.9183256385209442
3,8.495694765481914e-07,6.167906555543132,1.087816239032288e-06,7.7002994325512475,0.9999999999999986,0.9059140504826074
4,8.439736094179999e-07,6.489923580011478,1.0859310981391053e-06,8.691235673496008,0.9999999999999984,0.9014397350036298
5,8.383707674444789e-07,7.4793341052183395,1.0725237155255764e-06,10.064635525579545,0.9999999999999991,0.841547653780771
6,8.404593541096881e-07,6.740953210911494,1.0794253645165125e-06,9.06099507876311,0.9999999999999989,0.8643670691222791
7,8.312053136248067e-07,7.801650161983443,1.074140936238111e-06,10.093703570270174,0.9999999999999989,0.8435015597288762
8,8.530092647352816e-07,6.277134419117313,1.0990940358839503e-06,7.74597665196661,0.9999999999999989,0.9199885623622532
9,8.405274196098308e-07,6.754736708795451,1.0794743385957266e-06,8.505226648926234,0.9999999999999991,0.8895062514356082
