fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,0.006205705553114787,9.221001859922948,0.049592452967117825,12.276859269141509,0.9999965533508383,0.7426817957315164
1,0.004282850698915487,8.256200557894202,0.038436508726999205,11.44834157345006,0.9999979363488598,0.783720315358404
2,0.005313304927583826,9.86411366591519,0.0443699454618466,12.682936705986801,0.9999971968705887,0.7612823969675505
3,0.006190296362551382,9.383000394538833,0.049542034473304374,12.835564463371018,0.9999965781229478,0.7031122365935994
4,0.007231182460876918,8.525976526993505,0.05405893124080478,11.825909251608207,0.9999958332247302,0.799967173861403
5,0.00714141744625802,8.767424096476054,0.05405408450709343,11.26828678383569,0.9999959052024259,0.7877233690927125
6,0.0061908273564752975,8.820525337108062,0.04935307845922202,11.221989093921549,0.9999965759853493,0.7979413968094373
7,0.006143191476399694,9.835384453862794,0.04934828817876887,13.5639092555573,0.9999965554528963,0.7084233223058461
8,0.005221900468802159,10.029296434644488,0.044150419544310184,12.800165814040351,0.9999972237355538,0.7644245333241056
9,0.006238457956423026,10.024767392992981,0.04935344377877862,13.108563487645231,0.9999965270220758,0.746051953286687
