fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,0.013429679324526935,6.22964417889636,0.04636140392527254,8.418007867741649,0.9999970680504686,0.8997540801772741
1,0.0140894837996728,5.6481410523406606,0.046575881865085385,8.298770417047317,0.9999970822626194,0.8945149313067312
2,0.009657104385032434,6.418577437399167,0.03955147557748317,8.839469291867577,0.9999978559889215,0.8837604036612224
3,0.014442598185405412,6.362374193447113,0.05130598770122451,8.62880081536624,0.9999964544241079,0.8744810245377618
4,0.01657124923320286,6.7541939248075655,0.05205999803088148,9.051359362515488,0.999996343436086,0.8816647349209813
5,0.014075357804865221,6.405435159879836,0.05100574195498514,9.211665634354347,0.9999964110946026,0.8876674565993928
6,0.00961871808450661,6.63670395846343,0.03937712495414486,9.689572949509522,0.99999785075378,0.8783029927499153
7,0.013268721334409553,6.176509323408709,0.046077689299121205,8.401108101525834,0.9999971296079933,0.893697480194817
8,0.012224872967336809,6.879124200876429,0.04568589235076546,8.95550733310191,0.9999971494747453,0.8820168929774164
9,0.010074195831165299,5.936344004818759,0.039509901824695534,8.118559128566893,0.9999978387221028,0.9209858128009941
