fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,3.8714684324719912,8.459889818016405,6.342951863946043,13.609085182446082,0.9477155753721859,0.7241418620317848
1,4.189333872429302,6.984273049102255,7.0935197745472625,10.047020980549918,0.9333965412727852,0.8492097205944376
2,4.067201947312451,6.4866227167290065,6.881203036169273,9.075539098967147,0.9395860619535181,0.8744437039443158
3,4.044271216318027,8.220444278402354,6.856960597381429,10.988880556069212,0.9392428993395864,0.7973822007886382
4,4.259499240077081,8.005431334279072,7.175605728949493,11.57767890713456,0.9322662348542238,0.8009820042114746
5,4.05120703169993,8.508841194671634,6.895482775370002,11.418988557484957,0.9365285530359708,0.826091047176037
6,4.430803496930123,6.960501729929429,7.472176555334379,9.668067193204948,0.9256332166752304,0.8743208086264967
7,3.8847954400197864,8.751478747088857,6.5424353691011845,12.228310623796716,0.9433294861640564,0.7931627222478561
8,4.364757164608463,7.113704371525071,7.431616038240161,9.711819790738502,0.9260524094365263,0.8756641686195695
9,4.0660169515034745,6.511599565233667,6.860258912597681,9.320046846628786,0.9404150317719181,0.847088724578164
