fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,14.322707645695601,14.031585280754095,18.365492069710495,17.525301893089996,0.43235774998745874,0.3949420373675639
1,19.242705541085577,18.5470427185213,22.566710264127714,22.37069348900118,0.31344544203110974,0.321003267330641
2,15.24371652265401,13.402718210688985,18.207760806943387,16.129661431961203,0.38457903749409755,0.4709698411774081
3,14.28513993326539,14.085193083241682,18.3710928083649,17.619054901553575,0.4194578241031474,0.4937504595784259
4,14.84343574418448,16.69059803041112,17.502665652581303,19.341665969082555,0.41602439534190294,0.28093824381862775
5,18.851015170262784,19.69972064166087,22.07054255303589,23.084486819411307,0.34627964691642765,0.29045401569974066
6,27.2413213057041,26.20753490596936,32.00571707654792,30.385010949584,0.4062326941165684,0.5024025529070621
7,16.239975059157647,15.3209385546829,21.180855797386545,20.410612284392954,0.38732976200571456,0.4968830519064356
8,14.333017204819114,14.577592262910038,17.628923552015323,18.926837283680225,0.41307466177816177,0.39668042605701054
9,14.772717925132225,15.337062652478881,17.32964230634457,18.081465219437735,0.4117633989007271,0.29432628093704827
