fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,7.604639691837598e-05,8.378389816296542,9.861751896059247e-05,10.794608685656529,0.9999999999906408,0.8187829958840783
1,7.604686322038208e-05,8.314080359345505,9.918040043769966e-05,10.189593020292351,0.9999999999905596,0.8355306555349886
2,7.702993260223449e-05,8.501375208594483,9.952847967995327e-05,10.487434352142365,0.9999999999904967,0.8112124402878979
3,7.492178038586937e-05,9.253270295992415,9.673911190776888e-05,11.955347111927718,0.9999999999908595,0.7740576515046579
4,7.717837765758846e-05,7.479050663908042,0.00010000414373990965,9.643961131821042,0.9999999999903274,0.8542123992974011
5,7.526539727534003e-05,8.863683180760143,9.773411114924973e-05,11.555033406186556,0.9999999999905884,0.820179549046209
6,7.74090583192853e-05,6.889056129788682,9.97647187732651e-05,8.978105654302805,0.9999999999904432,0.8804995217640712
7,7.579660368871179e-05,8.784018168347568,9.781318481379108e-05,11.443571063941006,0.9999999999906998,0.7937323030093125
8,7.60714099680446e-05,8.47540919363419,9.920298637666671e-05,10.911764936090492,0.9999999999903387,0.8328328290115035
9,7.856099346186452e-05,7.800642003878618,0.00010132775091936913,9.691546149231598,0.9999999999900293,0.8619517125012146
