fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,6.0996726246119355,8.636618741870723,7.86149726156179,10.930398988936012,0.9324461208299981,0.8401416844518274
1,6.167703782315593,9.374605485548384,7.948609336991663,11.261453040431599,0.9291041260419249,0.8150230090388989
2,6.40117363848851,7.701595028598264,8.198592984631693,9.85502147409933,0.9241833206183421,0.8549261276268425
3,6.291313384654428,7.760927897754966,8.127023997074318,10.114624201096255,0.9248665924075358,0.8661589527421653
4,6.2547573355029815,8.035443483101188,8.124518235889658,10.252942838198383,0.9242357879818317,0.8399026353283476
5,6.033336580398192,8.784311670099111,7.851514730816499,11.601795569670541,0.9297265306639396,0.8468511019659678
6,6.523141623485282,8.623042368294785,8.368440910384088,11.18883834907283,0.9168837299740115,0.8191061391613982
7,6.303219751961876,9.213894997092114,8.125589157723834,11.540954736478843,0.9243743928755791,0.7895363415533815
8,6.200665766691029,8.47858021277371,7.999900254016028,11.292710246267937,0.9261935339868353,0.8408716575216235
9,6.196374385815249,8.001766565100828,7.968911153618865,10.53334559716015,0.9286887681534068,0.86713645286534
