fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,3.85840281637947,11.287837301587302,6.199322521964173,16.52602204464769,0.9445135614992977,0.5901872685059892
1,3.4470307578284234,10.554140211640211,5.628980622007632,15.636096126546716,0.9546398441752327,0.6185779502819881
2,3.3850588289790626,11.037410714285716,5.806091894831111,16.678738470133165,0.9520384044799123,0.5408537461417109
3,3.1633229880797975,10.967734788359788,5.188875698169645,17.355101050612088,0.9614297882983157,0.5974652502230936
4,3.5319779627061183,10.272097793919828,5.948431172198835,14.736358691690318,0.9491659250515769,0.6667771706201927
5,3.3637917851790684,11.933813131313132,5.753099801263822,17.535702233064267,0.9515999489466346,0.5656658046226999
6,3.2878658592531425,11.248376623376624,5.309568239916765,16.66160222580187,0.9595536598160783,0.6000789487325958
7,3.325136098112977,10.691313131313134,5.423208729423765,16.184938946975738,0.9578590267076762,0.5970823702243523
8,3.450341774474722,11.351655844155843,5.624150817905439,16.68150573031081,0.9540464178733811,0.6116525147109012
9,3.245047710799156,10.297932900432901,5.49337888683603,15.37308632388924,0.9565089581992895,0.6739637176109862
