fold,MAE_train,MAE_test,RMSE_train,RMSE_test,PCC_train,PCC_test
0,0.002550110744528641,5.669157641761407,0.0036525625195438084,7.652746092095635,0.999999986281709,0.9212426389903772
1,0.0025738386419524332,5.033118924103754,0.003615582106900098,6.910757972598976,0.9999999867184942,0.9326127435273538
2,0.0025997310225666158,4.556779249229611,0.0036186295981167974,6.447328094071112,0.9999999868248455,0.9346759890766188
3,0.0025319028103097997,5.095131772301388,0.0036100378555927897,7.259184973005315,0.9999999866987305,0.9271011885647007
4,0.0025580035522245986,4.908361472863651,0.0036051754419246943,6.655866614285527,0.999999986809587,0.9332957763563909
5,0.0025203554232006648,5.116182857443449,0.0035661875961022047,7.538823278510418,0.9999999868605324,0.93235753970579
6,0.002625170521479619,5.372763743625131,0.0036305916676084337,7.841558746261256,0.999999986479082,0.9141717873381234
7,0.0025898485905877823,5.690480356580085,0.003676577360858719,7.525735731785198,0.9999999860484139,0.9159683949250853
8,0.002537036994901735,5.68101199444673,0.003591030360016104,7.9604665256354155,0.9999999867046927,0.917631928637089
9,0.002555768146901624,4.942996593426201,0.003607757276810004,6.694724137922461,0.9999999866578656,0.9427719060887295
